n,avg_memory
17130,1581168
17140,1581168
17150,1581168
17160,1581168
17170,1581168
17180,1581168
17190,1581168
17200,1581168
17210,1581168
17220,1581168
17230,1581168
17240,1581168
17250,1581168
17260,1581168
17270,1581168
17280,1581168
17290,1581168
17300,1581168
17310,1581168
17320,1581168
17330,1581168
17340,1581168
17350,1581168
17360,1581168
17370,1581168
17380,1581168
17390,1581168
17400,1581168
17410,1581168
17420,1581168
17430,1581168
17440,1581168
17450,1581168
17460,1581168
17470,1581168
17480,1581168
17490,1581168
17500,1581168
17510,1581168
17520,1581168
17530,1581168
17540,1581168
17550,1581168
17560,1581168
17570,1581168
17580,1581168
17590,1581168
17600,1581168
17610,1581168
17620,1581168
17630,1581168
17640,1581168
17650,1581168
17660,1581168
17670,1581168
17680,1581168
17690,1581168
17700,1581168
17710,1581168
17720,1581168
17730,1581168
17740,1581168
17750,1581168
17760,1581168
17770,1581168
17780,1581168
17790,1581168
17800,1581168
17810,1581168
17820,1581168
17830,1581168
17840,1581168
17850,1581168
17860,1581168
17870,1581168
17880,1581168
17890,1581168
17900,1581168
17910,1581168
17920,1581168
17930,1581168
17940,1581168
17950,1581168
17960,1581168
17970,1581168
17980,1581168
17990,1581168
18000,1581168
18010,1581168
18020,1581168
18030,1581168
18040,1581168
18050,1581168
18060,1581168
18070,1581168
18080,1581168
18090,1581168
18100,1581168
18110,1581168
18120,1581168
18130,1581168
18140,1581168
18150,1581168
18160,1581168
18170,1581168
18180,1581168
18190,1581168
18200,1581168
18210,1581168
18220,1581168
18230,1581168
18240,1581168
18250,1581168
18260,1581168
18270,1581168
18280,1581168
18290,1581168
18300,1581168
18310,1581168
18320,1581168
18330,1581168
18340,1581168
18350,1581168
18360,1581168
18370,1581168
18380,1581168
18390,1581168
18400,1581168
18410,1581168
18420,1581168
18430,1581168
18440,1581168
18450,1581168
18460,1581168
18470,1581168
18480,1581168
18490,1581168
18500,1581168
18510,1581168
18520,1581168
18530,1581168
18540,1581168
18550,1581168
18560,1581168
18570,1581168
18580,1581168
18590,1581168
18600,1581168
18610,1581168
18620,1581168
18630,1581168
18640,1581168
18650,1581168
18660,1581168
